OBJECTID,Jurisdiction,APN,Vacancy,Units,Zoning,ZoningSimplified,Min_Density,Max_Density,Links,Shape__Area,Shape__Length
2056,City of San Diego,5340640600,,37,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,10021.916015625,400.43848643595
2057,City of San Diego,5340640700,,13,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,3510.0302734375,270.254487512886
2058,City of San Diego,5341920700,,57,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,15489.765625,509.522953103809
2059,City of San Diego,5341931100,,38,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,10250.083984375,404.986649874229
2060,City of San Diego,5341950900,,56,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,15238.7529296875,504.014082282558
2061,City of San Diego,5341950700,,35,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,9715.779296875,394.326861501867
2062,City of San Diego,5341950800,,18,CCPD-R,Commercial,,,https://www.sandiego.gov/development-services/zoning,4945.2900390625,299.322471668157
2063,Escondido,2335110900,,3,S‐P,,,25,,7628.87109375,399.779724696182
2064,Escondido,2335111100,,2,S‐P,,,25,,7325.1416015625,393.08291532838
2065,Escondido,2361120200,,2,S‐P,,,25,,5560.748046875,313.856563926737
2066,Escondido,2361120800,,3,S‐P,,,25,,7821.0263671875,406.657267049901
