objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
22,3050080,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050080_305,"(0, 0, 153)","(255, 255, 255)",35831.2287096175
23,3060027,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060027_306,"(0, 0, 153)","(255, 255, 255)",12275.4551396905
24,3060033,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060033_306,"(0, 0, 153)","(255, 255, 255)",76389.0386077164
25,3060035,306,306,Vista - Fallbrook,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3060035_306,"(0, 0, 153)","(255, 255, 255)",81715.0692718686
26,3080067,308,308,Escondido - Solana Beach,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3080067_308,"(0, 0, 153)","(255, 255, 255)",100891.823449881
27,3080068,308,308,Escondido - Solana Beach,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3080068_308,"(0, 0, 153)","(255, 255, 255)",99612.5214296023
28,3090174,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090174_309,"(0, 0, 153)","(255, 255, 255)",129416.05053551
29,3090176,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090176_309,"(0, 0, 153)","(255, 255, 255)",136469.746669666
30,3090177,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090177_309,"(0, 0, 153)","(255, 255, 255)",131890.860694502
31,3090178,309,309,Town Center North - Encinitas via ECR,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3090178_309,"(0, 0, 153)","(255, 255, 255)",138944.556742436
32,3110046,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110046_311,"(0, 0, 153)","(255, 255, 255)",21917.1366603929
33,3110050,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110050_311,"(0, 0, 153)","(255, 255, 255)",62297.174370135
34,3110051,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110051_311,"(0, 0, 153)","(255, 255, 255)",37637.4441230631
35,3110052,311,311,East Oceanside,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3110052_311,"(0, 0, 153)","(255, 255, 255)",67122.4616220431
36,3130033,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130033_313,"(0, 0, 153)","(255, 255, 255)",24576.4649223854
37,3130036,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130036_313,"(0, 0, 153)","(255, 255, 255)",26044.872006216
38,3130040,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130040_313,"(0, 0, 153)","(255, 255, 255)",55468.9954057982
39,3130041,313,313,Oceanside TC - Town Center North,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3130041_313,"(0, 0, 153)","(255, 255, 255)",53780.5562685579
40,3150096,315,315,College Bl Sprinter Sta - 22 Area via Vandegrift,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3150096_315,"(0, 0, 153)","(255, 255, 255)",97694.7212336575
